cue,numFlash,targetLoc,ISI,response,RT,accuracy,sub,SDT
1,2,1,11,1,0.00127316598081961,0,ap,MI
0,2,1,35,1,0.00119379098759964,0,ap,MI
0,2,6,23,1,0.00126600003568456,0,ap,MI
0,1,2,35,1,0.00135825003962964,1,ap,CR
1,1,5,11,1,0.00122304202523082,1,ap,CR
0,1,6,11,1,0.00156991695985198,1,ap,CR
1,2,1,11,1,0.00123712501954287,0,ap,MI
0,1,2,11,1,0.00157991697778925,1,ap,CR
0,1,1,35,1,0.00121858302736655,1,ap,CR
0,2,2,35,2,0.00135695899371058,1,ap,HI
0,2,2,11,2,0.00174237496685237,1,ap,HI
1,2,4,11,2,0.00140125001780689,1,ap,HI
1,2,5,23,2,0.00115612498484552,1,ap,HI
0,1,6,11,2,0.00136566697619855,0,ap,FA
1,2,5,23,2,0.00124791701091453,1,ap,HI
1,2,3,35,2,0.00149920803960413,1,ap,HI
1,2,5,35,2,0.00153083400800824,1,ap,HI
1,1,3,11,1,0.00125829200260341,1,ap,CR
0,1,4,23,1,0.00145012501161546,1,ap,CR
0,2,4,23,1,0.00125462497817352,0,ap,MI
1,1,6,35,2,0.00145270896609873,0,ap,FA
0,2,5,35,2,0.00125991698587313,1,ap,HI
0,2,5,23,2,0.00125487498007715,1,ap,HI
0,2,4,35,2,0.00124062498798594,1,ap,HI
1,2,3,11,2,0.00119745900155976,1,ap,HI
1,1,2,35,1,0.00139670801581815,1,ap,CR
0,1,2,23,1,0.00123179104411975,1,ap,CR
1,1,3,35,1,0.00120799994328991,1,ap,CR
1,1,2,11,2,0.00146904203575104,0,ap,FA
1,2,6,35,2,0.00127374997828156,1,ap,HI
0,1,2,23,1,0.00126062496565282,1,ap,CR
1,2,5,11,1,0.00136375002330169,0,ap,MI
1,2,2,35,2,0.00118845800170675,1,ap,HI
1,1,2,23,1,0.00122941698646173,1,ap,CR
1,2,6,11,1,0.00125329103320837,0,ap,MI
0,2,3,35,1,0.00119675003224984,0,ap,MI
0,1,1,35,1,0.00122158299200237,1,ap,CR
0,1,2,35,1,0.00121016701450571,1,ap,CR
0,2,1,11,1,0.00129408302018419,0,ap,MI
0,1,1,23,1,0.00167458294890821,1,ap,CR
0,1,2,35,1,0.0013011249830015,1,ap,CR
1,2,6,35,2,0.00139183399733156,1,ap,HI
1,2,3,23,2,0.00124066701391712,1,ap,HI
1,2,6,11,2,0.00122229201951995,1,ap,HI
1,2,1,35,2,0.00129362504230812,1,ap,HI
0,2,6,23,2,0.00126733398064971,1,ap,HI
1,2,3,23,2,0.00127370900008827,1,ap,HI
1,1,5,35,2,0.00141287501901388,0,ap,FA
0,2,5,35,2,0.00128183304332197,1,ap,HI
0,1,3,11,1,0.00121275003766641,1,ap,CR
0,1,5,23,2,0.00127945799613371,0,ap,FA
1,1,1,23,1,0.00123049999820068,1,ap,CR
1,2,5,23,2,0.00127708294894546,1,ap,HI
1,1,6,11,2,0.00121637497795746,0,ap,FA
0,2,5,11,2,0.00123324996093288,1,ap,HI
1,1,1,23,1,0.00138383405283093,1,ap,CR
0,2,4,11,1,0.00149870803579688,0,ap,MI
0,1,5,11,2,0.001468250004109,0,ap,FA
1,2,2,11,2,0.00124479195801541,1,ap,HI
0,1,2,11,1,0.00152033398626372,1,ap,CR
1,2,3,11,1,0.00120787502964959,0,ap,MI
1,2,6,23,1,0.00125095795374364,0,ap,MI
0,1,3,35,1,0.00148845801595598,1,ap,CR
0,2,4,11,2,0.00135687500005588,1,ap,HI
1,1,3,11,2,0.00124112505000085,0,ap,FA
0,1,5,35,1,0.00134999997681007,1,ap,CR
1,2,2,11,2,0.00144733302295208,1,ap,HI
0,1,6,23,1,0.00125258299522102,1,ap,CR
1,1,2,35,1,0.00118087499868125,1,ap,CR
0,1,6,35,1,0.00137399998493493,1,ap,CR
0,2,4,11,2,0.00122604198986664,1,ap,HI
1,2,1,23,1,0.00150291697354987,0,ap,MI
0,1,1,11,1,0.00124662497546524,1,ap,CR
0,2,1,23,2,0.00150750001193956,1,ap,HI
0,1,3,11,2,0.00129316601669416,0,ap,FA
0,1,6,23,2,0.00119637500029057,0,ap,FA
1,2,2,23,1,0.00137533305678517,0,ap,MI
1,1,5,23,1,0.00123049999820068,1,ap,CR
1,1,2,23,1,0.00138004100881517,1,ap,CR
1,1,4,35,2,0.00136037496849895,0,ap,FA
1,1,4,23,2,0.00126104202354327,0,ap,FA
1,1,5,35,1,0.00126991700381041,1,ap,CR
1,1,1,35,1,0.00122245796956122,1,ap,CR
0,2,6,35,2,0.00142554100602865,1,ap,HI
0,2,3,23,1,0.00128183298511431,0,ap,MI
1,2,5,35,2,0.0012042919988744,1,ap,HI
0,1,3,23,2,0.00150362495332956,0,ap,FA
0,1,5,23,1,0.00118483300320804,1,ap,CR
1,1,5,11,1,0.00121604203013703,1,ap,CR
0,1,4,35,2,0.00121274997945875,0,ap,FA
1,1,4,11,2,0.00119825004367158,0,ap,FA
0,1,4,23,2,0.00127312500262633,0,ap,FA
1,2,1,23,1,0.00121995800873265,0,ap,MI
1,2,3,35,1,0.00119833298958838,0,ap,MI
1,1,6,23,1,0.00145445798989385,1,ap,CR
1,1,6,35,1,0.00129245797870681,1,ap,CR
1,2,6,35,2,0.00127708399668336,1,ap,HI
0,2,5,23,2,0.00119724997784942,1,ap,HI
0,2,1,35,2,0.00151012500282377,1,ap,HI
1,2,2,35,2,0.00151675002416596,1,ap,HI
1,1,3,35,2,0.00126162497326732,0,ap,FA
0,1,3,23,2,0.0012585410149768,0,ap,FA
1,1,1,11,2,0.00126712495693937,0,ap,FA
1,2,5,11,1,0.00126970902783796,0,ap,MI
0,1,4,35,2,0.00124299997696653,0,ap,FA
1,2,5,11,2,0.00121883297106251,1,ap,HI
1,2,4,11,2,0.00122650002595037,1,ap,HI
0,1,6,35,2,0.0014204999897629,0,ap,FA
0,2,3,11,1,0.00120779097778723,0,ap,MI
0,2,3,11,2,0.00125529203796759,1,ap,HI
1,2,4,35,2,0.0012347919982858,1,ap,HI
0,1,4,23,2,0.00122050003847107,0,ap,FA
1,2,2,23,2,0.00128029199549928,1,ap,HI
1,2,4,35,2,0.0012134580174461,1,ap,HI
0,2,6,11,1,0.00121654197573662,0,ap,MI
0,1,3,11,2,0.00137108302442357,0,ap,FA
1,2,6,11,1,0.00134591700043529,0,ap,MI
1,2,4,23,2,0.00143220805330202,1,ap,HI
1,1,3,23,2,0.00122137501602992,0,ap,FA
0,1,2,23,2,0.00122954096877947,0,ap,FA
1,2,1,35,1,0.00136054196627811,0,ap,MI
1,1,4,35,2,0.00122866698075086,0,ap,FA
0,2,6,23,2,0.00122791703324765,1,ap,HI
0,2,5,35,1,0.00123983301455155,0,ap,MI
0,2,6,35,2,0.0012223330559209,1,ap,HI
1,1,6,23,2,0.00128337502246723,0,ap,FA
0,2,4,23,1,0.0014567089965567,0,ap,MI
0,2,1,35,1,0.00134479103144258,0,ap,MI
0,2,3,11,2,0.0012300829985179,1,ap,HI
1,1,6,11,2,0.00120225001592189,0,ap,FA
1,1,2,23,2,0.00127029098803177,0,ap,FA
1,1,1,11,1,0.00123291602358222,1,ap,CR
1,1,1,11,1,0.00125129200750962,1,ap,CR
1,2,4,11,2,0.00121358403703198,1,ap,HI
0,2,5,11,2,0.00134579098084942,1,ap,HI
1,1,5,11,1,0.00121433398453519,1,ap,CR
0,2,6,11,2,0.00126987497787923,1,ap,HI
0,2,3,35,2,0.00121045799460262,1,ap,HI
1,1,1,35,1,0.00149004103150219,1,ap,CR
1,1,1,23,1,0.00125791697064415,1,ap,CR
1,2,3,11,2,0.00138891604728997,1,ap,HI
0,1,6,11,1,0.0011999579728581,1,ap,CR
1,1,5,23,2,0.00120712502393872,0,ap,FA
0,1,5,35,2,0.00136787496739998,0,ap,FA
0,2,3,23,1,0.00127733399858698,0,ap,MI
1,1,3,11,2,0.00121270801173523,0,ap,FA
1,1,6,11,2,0.00133720797020942,0,ap,FA
1,1,4,35,1,0.00126304104924202,1,ap,CR
0,2,2,11,1,0.00121883302927017,0,ap,MI
1,1,3,35,1,0.0012391249765642,1,ap,CR
0,1,6,23,1,0.00125241599744186,1,ap,CR
0,2,1,11,1,0.00127320899628103,0,ap,MI
0,2,4,35,2,0.00150979199679568,1,ap,HI
1,2,1,23,1,0.00126087502576411,0,ap,MI
1,1,3,23,1,0.00123804103350267,1,ap,CR
1,2,2,11,1,0.00119491701480001,0,ap,MI
0,1,5,35,2,0.00150687503628433,0,ap,FA
1,2,2,23,2,0.00145787501242012,1,ap,HI
0,1,1,11,1,0.00126870797248557,1,ap,CR
0,1,1,11,1,0.00122483295854181,1,ap,CR
1,1,6,23,1,0.00121912499889731,1,ap,CR
1,2,1,11,1,0.00115666602505371,0,ap,MI
0,2,4,23,2,0.00122208299580961,1,ap,HI
0,2,6,35,2,0.00119783298578113,1,ap,HI
1,1,3,23,1,0.00126808299683034,1,ap,CR
0,1,4,11,1,0.00125270802527666,1,ap,CR
1,2,6,23,2,0.00125708302948624,1,ap,HI
1,2,6,23,1,0.00126087496755645,0,ap,MI
0,2,2,23,2,0.00122708297567442,1,ap,HI
1,2,5,35,2,0.00157412502449006,1,ap,HI
1,1,6,35,1,0.00122341699898243,1,ap,CR
1,2,4,23,1,0.00123049999820068,0,ap,MI
1,2,3,35,2,0.001483958971221,1,ap,HI
1,2,4,23,1,0.00127991603221744,0,ap,MI
0,1,5,23,1,0.00127775000873953,1,ap,CR
0,1,3,35,2,0.0012453340459615,0,ap,FA
0,1,1,23,1,0.00148608401650563,1,ap,CR
1,2,2,35,2,0.00128062500152737,1,ap,HI
1,1,2,35,1,0.00120854203123599,1,ap,CR
0,1,2,11,1,0.0012466250336729,1,ap,CR
0,1,6,35,1,0.00120920897461474,1,ap,CR
0,1,5,11,1,0.00129933300195262,1,ap,CR
0,1,1,35,1,0.00128408300224692,1,ap,CR
1,1,4,23,1,0.00127175002126023,1,ap,CR
0,2,2,35,2,0.00125941698206589,1,ap,HI
0,2,2,23,1,0.00122679199557751,0,ap,MI
1,2,3,23,1,0.00121845799731091,0,ap,MI
0,2,2,23,2,0.0013631249894388,1,ap,HI
0,1,4,11,2,0.00121879100333899,0,ap,FA
1,1,1,35,1,0.00153345800936222,1,ap,CR
0,2,2,35,2,0.00119679095223546,1,ap,HI
0,1,5,11,1,0.00135774997761473,1,ap,CR
0,1,3,35,1,0.00119749997975305,1,ap,CR
1,2,4,35,1,0.00139112496981397,0,ap,MI
0,2,1,23,1,0.00149520899867639,0,ap,MI
1,2,1,35,2,0.00123141700169072,1,ap,HI
1,1,5,23,1,0.00121958396630362,1,ap,CR
0,1,4,11,2,0.00123437499860302,0,ap,FA
0,1,4,35,2,0.00149608298670501,0,ap,FA
1,1,4,11,2,0.0012423750013113,0,ap,FA
1,1,5,35,2,0.00176325000211364,0,as,FA
0,2,3,35,2,0.00424625000596279,1,as,HI
0,2,4,35,2,0.00155429200094659,1,as,HI
0,2,5,23,2,0.00157004199718358,1,as,HI
1,1,2,11,1,0.0022669159952784,1,as,CR
0,2,2,11,1,0.00141958400490694,0,as,MI
0,2,5,11,1,0.00142500000220025,0,as,MI
0,2,6,11,2,0.00175012499676086,1,as,HI
0,1,3,23,1,0.00130899999930989,1,as,CR
0,2,1,23,1,0.00145437500032131,0,as,MI
0,2,3,23,1,0.00133208400075091,0,as,MI
0,2,1,11,1,0.00116420799895423,0,as,MI
0,1,1,23,1,0.00134554199757986,1,as,CR
1,1,4,23,2,0.00160375000268687,0,as,FA
1,1,4,11,1,0.00130524999985937,1,as,CR
1,1,2,11,1,0.00115554199874168,1,as,CR
1,2,1,11,1,0.00119425000593765,0,as,MI
0,2,1,35,2,0.00115491599717643,1,as,HI
0,2,6,23,1,0.00118479099910473,0,as,MI
0,1,2,35,1,0.00118383300286951,1,as,CR
1,1,5,11,1,0.00114279199624434,1,as,CR
0,1,6,11,1,0.00139779099845327,1,as,CR
1,2,1,11,1,0.00117399999726331,0,as,MI
0,1,2,11,1,0.00116074999823468,1,as,CR
0,1,1,35,1,0.00147804099833593,1,as,CR
0,2,2,35,2,0.00133949999872129,1,as,HI
0,2,2,11,1,0.00118549999751849,0,as,MI
1,2,4,11,2,0.00149604099715361,1,as,HI
1,2,5,23,1,0.00120308400073554,0,as,MI
0,1,6,11,2,0.00118125000153668,0,as,FA
1,2,5,23,1,0.00114408299850766,0,as,MI
1,2,3,35,2,0.00116962500032969,1,as,HI
1,2,5,35,2,0.00119029200141085,1,as,HI
1,1,3,11,1,0.00118604199815309,1,as,CR
0,1,4,23,1,0.00123349999921629,1,as,CR
0,2,4,23,2,0.00130424999952083,1,as,HI
1,1,6,35,1,0.00117083400255069,1,as,CR
0,2,5,35,2,0.00126554199960083,1,as,HI
0,2,5,23,2,0.00115416599874152,1,as,HI
0,2,4,35,2,0.00126150000141934,1,as,HI
1,2,3,11,1,0.00114533300074982,0,as,MI
1,1,2,35,1,0.00118079099775059,1,as,CR
0,1,2,23,1,0.00136016699980246,1,as,CR
1,1,3,35,1,0.00118358400504803,1,as,CR
1,1,2,11,1,0.00121695800044108,1,as,CR
1,2,6,35,2,0.0011422079987824,1,as,HI
0,1,2,23,1,0.00129754199588206,1,as,CR
1,2,5,11,2,0.0011369170024409,1,as,HI
1,2,2,35,2,0.00134387500293087,1,as,HI
1,1,2,23,1,0.00141687499854015,1,as,CR
1,2,6,11,1,0.00123212499602232,0,as,MI
0,2,3,35,2,0.00131429199973354,1,as,HI
0,1,1,35,1,0.00116616699961014,1,as,CR
0,1,2,35,1,0.0012775419963873,1,as,CR
0,2,1,11,1,0.00118149999616435,0,as,MI
0,1,1,23,1,0.00138000000151806,1,as,CR
0,1,2,35,1,0.0011972499996773,1,as,CR
1,2,6,35,2,0.001293875000556,1,as,HI
1,2,3,23,2,0.00129749999905471,1,as,HI
1,2,6,11,1,0.00137624999479158,0,as,MI
1,2,1,35,2,0.001324917000602,1,as,HI
0,2,6,23,1,0.00116300000081537,0,as,MI
1,2,3,23,2,0.00116862499999115,1,as,HI
1,1,5,35,1,0.00127620800049044,1,as,CR
0,2,5,35,2,0.0011404999968363,1,as,HI
0,1,3,11,2,0.00116908299969509,0,as,FA
0,1,5,23,2,0.0012213339941809,0,as,FA
1,1,1,23,1,0.00116049999633105,1,as,CR
1,2,5,23,2,0.0011562080035219,1,as,HI
1,1,6,11,1,0.00115445799747249,1,as,CR
0,2,5,11,1,0.00116866600001231,0,as,MI
1,1,1,23,1,0.00116291599988472,1,as,CR
0,2,4,11,2,0.00118325000221375,1,as,HI
0,1,5,11,2,0.00118408299749717,0,as,FA
1,2,2,11,1,0.00114945799577981,0,as,MI
0,1,2,11,1,0.00116179099859437,1,as,CR
1,2,3,11,2,0.0014707499940414,1,as,HI
1,2,6,23,2,0.00115245900087757,1,as,HI
0,1,3,35,1,0.00114854099956574,1,as,CR
0,2,4,11,2,0.001456625002902,1,as,HI
1,1,3,11,2,0.00118929199379636,0,as,FA
0,1,5,35,2,0.00121170800412074,0,as,FA
