cue,numFlash,targetLoc,ISI,response,RT,accuracy,sub,SDT
0,1,1,11,1,0.00134524999975838,1,ss,CR
1,2,3,35,2,0.00125645800017082,1,ss,HI
1,1,4,23,1,0.00117387499994948,1,ss,CR
1,1,3,23,1,0.00116220800009614,1,ss,CR
1,1,2,23,1,0.00119499999982509,1,ss,CR
0,2,4,35,2,0.00116829200032953,1,ss,HI
1,1,2,23,1,0.00119499999982509,1,ss,CR
0,1,5,35,1,0.00121391700031381,1,ss,CR
0,1,3,11,1,0.00120104200050264,1,ss,CR
0,1,4,35,1,0.00130087500019727,1,ss,CR
0,1,6,23,2,0.0011865830001625,0,ss,FA
0,1,3,23,1,0.00122970800020994,1,ss,CR
1,2,1,35,2,0.00121833399953175,1,ss,HI
0,1,5,11,2,0.00116045899994788,0,ss,FA
0,2,3,35,2,0.00121124999986932,1,ss,HI
1,2,5,11,1,0.00116979099948367,0,ss,MI
0,1,2,23,1,0.00122416599970165,1,ss,CR
0,1,5,35,2,0.0012031249998472,0,ss,FA
0,1,2,35,1,0.00115641600041272,1,ss,CR
0,1,6,11,2,0.00141533399983018,0,ss,FA
1,1,6,23,1,0.00120366600003763,1,ss,CR
0,1,6,35,1,0.00115620799988392,1,ss,CR
1,2,6,35,2,0.00121466700056772,1,ss,HI
0,2,1,23,2,0.00121529199986981,1,ss,HI
1,1,4,23,1,0.00118820799980313,1,ss,CR
1,1,5,11,1,0.0012553749993458,1,ss,CR
1,1,1,35,1,0.00118649999967602,1,ss,CR
0,1,5,35,2,0.00116195800001151,0,ss,FA
0,2,6,23,2,0.00118629200005671,1,ss,HI
0,2,1,11,1,0.0014112919998297,0,ss,MI
1,1,1,23,1,0.00120295800024905,1,ss,CR
0,1,5,23,2,0.001182749999316,0,ss,FA
0,1,3,35,2,0.00118704099986644,0,ss,FA
0,1,6,23,2,0.00119345799976145,0,ss,FA
0,2,5,35,2,0.00124154200057092,1,ss,HI
1,2,1,11,1,0.00133383299998968,0,ss,MI
0,1,1,35,1,0.00124529099957726,1,ss,CR
0,2,4,11,2,0.00121549999948911,1,ss,HI
0,2,1,23,2,0.00123274999987188,1,ss,HI
0,2,4,23,2,0.00121229099931952,1,ss,HI
0,1,4,23,1,0.00118149999980233,1,ss,CR
0,2,2,23,1,0.00118874999952823,0,ss,MI
1,1,6,35,1,0.00122866600031557,1,ss,CR
0,1,5,11,2,0.00122462499984977,0,ss,FA
1,2,5,23,2,0.0012530420008261,1,ss,HI
0,2,6,35,2,0.00124270800006343,1,ss,HI
1,1,4,11,1,0.00145324999994045,1,ss,CR
0,1,1,35,1,0.00122116700003971,1,ss,CR
1,2,5,35,2,0.00129445899983693,1,ss,HI
0,2,6,11,2,0.00117908399988664,1,ss,HI
0,2,2,35,2,0.00122916700001952,1,ss,HI
0,2,6,11,2,0.00118129199927353,1,ss,HI
1,1,3,23,1,0.00129629200000636,1,ss,CR
1,1,1,35,1,0.00114841699996759,1,ss,CR
0,1,4,23,1,0.00117470900022454,1,ss,CR
0,2,5,35,2,0.00142633300038142,1,ss,HI
1,2,5,35,2,0.00121929100077978,1,ss,HI
1,1,6,35,1,0.00118820799980313,1,ss,CR
1,2,6,11,1,0.00118308300079661,0,ss,MI
1,2,2,23,2,0.0012191250007163,1,ss,HI
0,2,6,11,2,0.00135004200001276,1,ss,HI
0,1,1,23,1,0.00116741700003331,1,ss,CR
0,2,2,11,1,0.00122399999963818,0,ss,MI
1,2,1,11,1,0.00122154099972249,0,ss,MI
0,2,1,35,2,0.00122658400050568,1,ss,HI
1,2,6,11,1,0.00123058400004084,0,ss,MI
0,2,4,23,2,0.00120520800010127,1,ss,HI
1,2,2,11,1,0.00124400000004243,0,ss,MI
1,2,5,11,1,0.00117208299980121,0,ss,MI
0,2,1,23,2,0.00119062500016298,1,ss,HI
1,1,6,11,1,0.00116758300009678,1,ss,CR
1,2,2,35,2,0.00120624999999563,1,ss,HI
1,2,4,35,2,0.00116087500009598,1,ss,HI
1,2,3,23,2,0.00145758299913723,1,ss,HI
0,1,2,23,1,0.00126120799995988,1,ss,CR
0,1,5,23,2,0.00128524999945512,0,ss,FA
1,1,4,35,1,0.00127545800023654,1,ss,CR
0,2,4,23,2,0.00149187500028347,1,ss,HI
0,2,2,11,2,0.00120658300056675,1,ss,HI
1,2,6,23,2,0.00136900000052265,1,ss,HI
1,1,6,23,2,0.00120429100024921,0,ss,FA
1,1,2,11,1,0.00134879200049909,1,ss,CR
0,2,5,11,2,0.00135858300018299,1,ss,HI
1,1,3,35,1,0.00143262500023411,1,ss,CR
1,1,3,11,1,0.00138891700044041,1,ss,CR
1,2,3,11,1,0.00120062499991036,0,ss,MI
0,2,5,23,2,0.00118445799944311,1,ss,HI
1,1,6,11,1,0.00142787500044506,1,ss,CR
0,1,1,23,1,0.00121566599955258,1,ss,CR
1,2,3,11,2,0.0013243749999674,1,ss,HI
0,1,3,35,1,0.00117012500049896,1,ss,CR
1,2,4,23,2,0.00124154200057092,1,ss,HI
1,2,4,35,2,0.00134520899973722,1,ss,HI
1,1,3,11,1,0.00124608300029649,1,ss,CR
1,2,3,23,1,0.00120133300060843,0,ss,MI
0,2,6,23,2,0.00122075000035693,1,ss,HI
1,2,2,35,2,0.00121991699961654,1,ss,HI
0,1,1,23,1,0.00119083399931696,1,ss,CR
0,1,4,11,1,0.00119200000062847,1,ss,CR
1,2,2,23,1,0.00133829100013827,0,ss,MI
0,1,6,35,1,0.00117208299980121,1,ss,CR
0,2,4,11,2,0.00123479100057011,1,ss,HI
1,2,6,35,2,0.0012259589993846,1,ss,HI
0,2,5,23,2,0.0012083330002497,1,ss,HI
1,2,1,11,1,0.00119900000026973,0,ss,MI
0,1,4,35,1,0.00123908300065523,1,ss,CR
1,1,5,11,1,0.00123254199934308,1,ss,CR
1,1,2,11,1,0.00118258299971785,1,ss,CR
0,2,2,11,1,0.00117074999980105,0,ss,MI
0,2,4,35,2,0.00117437500011874,1,ss,HI
0,2,3,35,2,0.00121033399955195,1,ss,HI
0,2,5,35,2,0.00130583299960563,1,ss,HI
1,2,3,35,2,0.00119937499948719,1,ss,HI
0,1,3,23,2,0.00122845799978677,0,ss,FA
0,2,5,11,2,0.00119145799999387,1,ss,HI
1,1,2,35,1,0.00119887500022742,1,ss,CR
1,2,1,35,2,0.00119850000010047,1,ss,HI
1,2,6,11,1,0.00121312499959458,0,ss,MI
1,2,2,11,1,0.00135833300009836,0,ss,MI
0,2,4,35,2,0.00123712499953399,1,ss,HI
1,1,4,11,1,0.00119891599933908,1,ss,CR
0,2,6,35,2,0.00120579200029169,1,ss,HI
1,1,6,11,1,0.00117966700054239,1,ss,CR
0,2,2,23,2,0.00118608299999323,1,ss,HI
1,2,4,23,2,0.00118816699978197,1,ss,HI
0,1,5,23,2,0.00151695900058257,0,ss,FA
