cue,numFlash,targetLoc,ISI,response,RT,accuracy,sub,SDT
1,1,5,35,1,0.00191912499940372,1,al,CR
0,2,3,35,1,0.0014835830006632,0,al,MI
0,2,4,35,1,0.00362529199992423,0,al,MI
0,2,5,23,1,0.00206033300037234,0,al,MI
1,1,2,11,1,0.00263095799982693,1,al,CR
0,2,2,11,1,0.00134458299999096,0,al,MI
0,2,5,11,1,0.0011450000001787,0,al,MI
0,2,6,11,1,0.00131941699964955,0,al,MI
0,1,3,23,1,0.00117404200045712,1,al,CR
0,2,1,23,1,0.00114899999971385,0,al,MI
0,2,3,23,1,0.00120633300048212,0,al,MI
0,2,1,11,1,0.00120883300041896,0,al,MI
0,1,1,23,1,0.00117854200016154,1,al,CR
1,1,4,23,1,0.00115900000037072,1,al,CR
1,1,4,11,1,0.00114145800034748,1,al,CR
1,1,2,11,1,0.00122366699997656,1,al,CR
1,2,1,11,1,0.00115804200049752,0,al,MI
0,2,1,35,2,0.00225104200035275,1,al,HI
0,2,6,23,1,0.00115745799939759,0,al,MI
0,1,2,35,1,0.00119937500039669,1,al,CR
1,1,5,11,1,0.00131441700068535,1,al,CR
0,1,6,11,1,0.00116658299975825,1,al,CR
1,2,1,11,1,0.0014099999998507,0,al,MI
0,1,2,11,1,0.00118695799937996,1,al,CR
0,1,1,35,1,0.00120704199980537,1,al,CR
0,2,2,35,1,0.00115641600041272,0,al,MI
0,2,2,11,1,0.00123333299961814,0,al,MI
1,2,4,11,1,0.00115795800047636,0,al,MI
1,2,5,23,1,0.00117920800039428,0,al,MI
0,1,6,11,1,0.00115579199973581,1,al,CR
1,2,5,23,1,0.0011493749998408,0,al,MI
1,2,3,35,1,0.00114750000011554,0,al,MI
1,2,5,35,1,0.00114587500047492,0,al,MI
1,1,3,11,1,0.00139183299961587,1,al,CR
0,1,4,23,1,0.00120170900027006,1,al,CR
0,2,4,23,1,0.00116620800054079,0,al,MI
1,1,6,35,1,0.00115162499969301,1,al,CR
0,2,5,35,1,0.00117220799984352,0,al,MI
0,2,5,23,1,0.00113495799996599,0,al,MI
